Title,Author,Genre,Pages,Age Group,Format,Star Rating,Date Started,Date Finished,Published,DNF,,Gender,Country,Continent,Race,Tags
All our wrong todays,Elan Mastai,Science Fiction,369,Adult,Hardcover,2.5,11.12.2021,19.12.2021,2017,,,Male,Canada,North America,White,
An absolutely remarkable thing,Hank Green,Science Fiction,338,YA,Hardcover,4.0,19.07.2021,23.07.2021,2018,,,Male,US,North America,White,
An american marriage,Tayari Jones,Fiction,306,Adult,Hardcover,3.0,15.05.2021,24.05.2021,2018,,,Female,US,North America,POC,
Bane,L.J.Shen,NA romance,354,Adult,Ebook,2.5,01.05.2021,02.05.2021,2018,,,Female,US,North America,White,
Bully,Penelope Douglas,NA romance,333,Adult,Ebook,3.0,21.06.2021,22.06.2021,2014,,,Female,US,North America,White,
Chosen Ones,Veronica Roth,Fantasy,432,Adult,Hardcover,4.5,29.09.2021,14.10.2021,2020,,,Female,US,North America,White,
Corrupt,Penelope Douglas,NA romance,461,Adult,Ebook,3.0,29.09.2021,30.09.2021,2015,,,Female,US,North America,White,
Dear Eva,ILSA MADDEN-MILLS,NA romance,376,Adult,Ebook,4.0,27.04.2021,27.04.2021,2020,,,Female,US,North America,White,
Eight perfect murders,Peter Swanson,Mystery,270,Adult,Audiobook,4.5,17.05.2021,20.05.2021,2020,,,Male,US,North America,White,
Exhalation,Ted Chiang,Short stories,339,Adult,Paperback,5.0,24.08.2020,19.07.2021,2019,,,Male,US,North America,POC,
Follow me to ground,Sue Rainsford,Horror,195,Adult,Hardcover,4.5,05.05.2021,06.05.2021,2020,,,Female,Ireland,Europe,White,
Foundryside,Robert Jackson Bennett,Fantasy,503,Adult,Paperback,,07.11.2021,,2018,1,,Male,US,North America,White,
Girls burn brighter,Shobha Rao,Fiction,307,Adult,Hardcover,4.0,12.08.2021,19.08.2021,2018,,,Female,India,Asia,POC,
Growing things ,Paul Tremblay,Horror,322,Adult,Hardcover,3.0,26.04.2021,05.06.2021,2019,,,Male,US,North America,White,
Homo Deus,Yuval Noah Harari,Non-Fiction,587,Adult,Audiobook,,14.09.2020,,2016,,,Male,Israel,Asia,White,
I dare you,Shantel Tessier,NA romance,382,Adult,Ebook,3.0,12.12.2021,14.12.2021,2018,,,Female,US,North America,White,
I know who you are,Alice Feeney,Thriller,288,Adult,Paperback,2.0,01.07.2021,04.07.2021,2019,,,Female,UK,Europe,White,
